@RELATION auto-sklearn_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC

@DATA
75233,1.0,1e-05,1e-05,1e-05,1e-05,0.00555,0.00487,1e-05,0.00046,2e-05,0.00026,1e-05,2e-05,2e-05,5e-05,8e-05,3e-05,1e-05,6e-05,1e-05,0.00061,1e-05,0.0,0.00014,0.00033,0.00013,0.00039,6e-05,8e-05,8e-05,0.00017,0.00043,6e-05,8e-05,9e-05,0.0002
260,1.0,2e-05,1e-05,2e-05,2e-05,0.00413,0.00362,7e-05,0.0005,8e-05,0.00017,1e-05,9e-05,0.0001,0.00014,0.00016,0.00016,7e-05,0.00014,2e-05,0.00094,8e-05,1e-05,0.00027,0.00042,0.00016,0.00036,6e-05,7e-05,8e-05,0.00016,0.00044,6e-05,8e-05,9e-05,0.0002
75153,1.0,1e-05,1e-05,2e-05,1e-05,0.00606,0.00513,1e-05,0.00054,2e-05,0.00042,1e-05,3e-05,4e-05,6e-05,8e-05,4e-05,1e-05,6e-05,2e-05,0.00061,1e-05,1e-05,0.00015,0.00032,0.00013,0.00038,6e-05,7e-05,8e-05,0.00016,0.00048,6e-05,9e-05,0.0001,0.00023
75127,1.0,1e-05,1e-05,2e-05,1e-05,0.16654,0.15337,1e-05,0.01043,1e-05,0.00277,0.0,1e-05,1e-05,3e-05,5e-05,2e-05,1e-05,4e-05,2e-05,0.00038,0.0,0.0,8e-05,0.00019,0.0001,0.00045,6e-05,9e-05,8e-05,0.00021,0.00054,7e-05,0.00012,0.0001,0.00026
75171,1.0,1e-05,0.0,1e-05,1e-05,0.00304,0.00277,1e-05,0.00021,1e-05,8e-05,0.0,1e-05,1e-05,3e-05,5e-05,2e-05,1e-05,4e-05,1e-05,0.00036,1e-05,0.0,7e-05,0.00019,8e-05,0.00048,8e-05,0.0001,0.00011,0.0002,0.00055,8e-05,0.00012,0.00012,0.00023
75232,1.0,1e-05,1e-05,1e-05,1e-05,0.00108,0.00076,1e-05,0.00021,2e-05,0.00015,1e-05,2e-05,2e-05,5e-05,8e-05,3e-05,1e-05,6e-05,1e-05,0.00055,1e-05,1e-05,0.00013,0.00028,0.00012,0.00039,7e-05,7e-05,8e-05,0.00016,0.00046,6e-05,8e-05,0.0001,0.00022
75235,1.0,1e-05,1e-05,2e-05,1e-05,0.00408,0.0035,1e-05,0.00039,1e-05,0.00022,1e-05,2e-05,2e-05,5e-05,0.0001,3e-05,1e-05,7e-05,2e-05,0.00067,1e-05,1e-05,0.00013,0.00034,0.00018,0.00039,6e-05,9e-05,8e-05,0.00017,0.00051,6e-05,9e-05,0.00011,0.00024
75097,1.0,1e-05,1e-05,2e-05,1e-05,0.01132,0.01021,1e-05,0.00084,1e-05,0.0003,0.0,1e-05,1e-05,3e-05,6e-05,2e-05,1e-05,5e-05,2e-05,0.0005,1e-05,0.0,9e-05,0.00027,0.00012,0.00074,0.00014,0.0001,0.00017,0.00033,0.00065,9e-05,0.00018,0.00013,0.00024
288,1.0,1e-05,1e-05,1e-05,1e-05,0.00248,0.00199,1e-05,0.00029,1e-05,0.00022,0.0,2e-05,2e-05,4e-05,6e-05,2e-05,1e-05,5e-05,1e-05,0.0006,1e-05,0.0,0.00014,0.00035,0.00011,0.00043,7e-05,0.00011,8e-05,0.00017,0.00044,6e-05,8e-05,8e-05,0.00021
75112,1.0,1e-05,1e-05,2e-05,1e-05,0.0116,0.01047,1e-05,0.00087,1e-05,0.00028,1e-05,2e-05,2e-05,5e-05,8e-05,2e-05,1e-05,7e-05,3e-05,0.00064,1e-05,1e-05,0.00019,0.0003,0.00013,0.00038,6e-05,7e-05,8e-05,0.00017,0.00044,6e-05,8e-05,9e-05,0.00021
75179,1.0,1e-05,0.0,1e-05,1e-05,0.00635,0.00307,1e-05,0.00304,1e-05,0.00026,0.0,2e-05,2e-05,4e-05,7e-05,2e-05,1e-05,5e-05,1e-05,0.00057,0.0,0.0,0.00013,0.00033,0.0001,0.00035,6e-05,8e-05,8e-05,0.00014,0.00042,6e-05,9e-05,0.0001,0.00017
75243,1.0,1e-05,1e-05,1e-05,1e-05,0.00605,0.00546,1e-05,0.00044,1e-05,0.00017,0.0,2e-05,2e-05,4e-05,6e-05,2e-05,1e-05,5e-05,1e-05,0.00049,1e-05,0.0,0.0001,0.00025,0.00013,0.00039,6e-05,7e-05,8e-05,0.00018,0.00047,8e-05,9e-05,9e-05,0.00021
75114,1.0,1e-05,1e-05,2e-05,1e-05,0.03927,0.01321,0.00059,0.01441,0.00071,0.01296,0.0,0.00046,0.00045,0.00092,0.00097,0.0012,1e-05,0.00129,1e-05,0.00043,1e-05,0.0,8e-05,0.00023,0.00011,0.00367,0.0008,0.00085,0.00088,0.00114,0.00795,0.00174,0.00182,0.0019,0.00249
