@RELATION auto-sklearn_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE ClassOccurences NUMERIC
@ATTRIBUTE ClassProbabilityMin NUMERIC
@ATTRIBUTE ClassProbabilityMax NUMERIC
@ATTRIBUTE ClassProbabilityMean NUMERIC
@ATTRIBUTE ClassProbabilitySTD NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC

@DATA
75097,1.0,3e-05,2e-05,0.00078,3e-05,2e-05,0.02319,0.02025,2e-05,0.0024,2e-05,0.00059,1e-05,3e-05,3e-05,7e-05,0.0001,3e-05,1e-05,5e-05,2e-05,0.00028,4e-05,1e-05,6e-05,0.00017,0.00051,1e-05,1e-05,0.0001,0.00026,0.00012,0.00051,7e-05,9e-05,0.00014,0.0002,0.00126,0.00021,0.00021,0.00026,0.00058,0.0149
75098,1.0,4e-05,1e-05,0.0023,2e-05,2e-05,0.22445,0.08459,6e-05,0.06702,8e-05,0.07298,1e-05,0.00014,0.00016,0.00021,0.00015,0.00012,1e-05,0.00014,2e-05,0.0002,2e-05,1e-05,4e-05,0.00014,0.00046,0.0,0.0,0.00014,0.00025,6e-05,0.00054,9e-05,0.0001,0.00012,0.00024,0.00066,0.00019,0.0001,0.00013,0.00024,0.02063
75099,1.0,2e-05,1e-05,0.00019,3e-05,2e-05,0.00335,0.00281,3e-05,0.00045,3e-05,0.00016,1e-05,5e-05,5e-05,0.00012,0.00021,6e-05,2e-05,8e-05,3e-05,0.00037,4e-05,2e-05,0.0001,0.00021,0.00108,1e-05,1e-05,0.00034,0.00057,0.00016,0.00104,0.00015,0.00023,0.00032,0.00033,0.00078,0.00012,0.00016,0.00017,0.00034,0.00205
75100,1.0,1e-05,1e-05,0.00013,2e-05,1e-05,0.00476,0.00387,2e-05,0.00063,2e-05,0.0003,1e-05,3e-05,3e-05,8e-05,0.0001,4e-05,1e-05,5e-05,2e-05,0.00026,3e-05,1e-05,5e-05,0.00017,0.00067,0.0,1e-05,0.0002,0.00036,0.0001,0.00049,7e-05,0.00013,8e-05,0.00021,0.00052,9e-05,8e-05,0.00011,0.00025,0.00274
75101,1.0,1e-05,1e-05,0.0016,2e-05,1e-05,0.06206,0.05421,1e-05,0.00506,2e-05,0.00283,1e-05,3e-05,2e-05,6e-05,8e-05,3e-05,1e-05,4e-05,1e-05,0.00023,2e-05,1e-05,4e-05,0.00016,0.00053,0.0,0.0,0.00015,0.0003,8e-05,0.01667,9e-05,9e-05,0.00018,0.0163,0.00049,7e-05,8e-05,0.0001,0.00023,0.02557
75103,1.0,1e-05,1e-05,0.0002,1e-05,1e-05,0.01505,0.0088,2e-05,0.00312,3e-05,0.00318,0.0,3e-05,2e-05,6e-05,8e-05,4e-05,1e-05,6e-05,2e-05,0.00018,2e-05,1e-05,3e-05,0.00013,0.00051,0.0,0.0,0.00012,0.00027,0.00012,0.00044,7e-05,8e-05,9e-05,0.0002,0.00042,7e-05,7e-05,9e-05,0.00018,0.00337
75105,1.0,2e-05,1e-05,0.00111,2e-05,1e-05,0.098,0.05301,3e-05,0.02416,5e-05,0.02092,1e-05,5e-05,5e-05,0.00014,0.00017,9e-05,1e-05,0.0001,2e-05,0.00027,3e-05,1e-05,6e-05,0.00017,0.00041,2e-05,1e-05,0.0001,0.00019,9e-05,0.00082,0.00013,0.00015,0.00018,0.00037,0.00047,7e-05,8e-05,0.0001,0.00021,0.01879
75106,1.0,1e-05,1e-05,0.00079,2e-05,1e-05,0.08527,0.0413,2e-05,0.02269,3e-05,0.02134,1e-05,5e-05,5e-05,0.00011,0.00018,6e-05,1e-05,0.0001,1e-05,0.00031,3e-05,1e-05,6e-05,0.00021,0.00085,5e-05,2e-05,0.00022,0.00038,0.00019,0.00064,9e-05,0.0001,0.00018,0.00026,0.00043,7e-05,7e-05,9e-05,0.0002,0.01234
75107,1.0,2e-05,1e-05,0.00093,2e-05,2e-05,0.10473,0.06925,3e-05,0.02051,4e-05,0.01506,1e-05,8e-05,7e-05,0.00016,0.00026,0.00013,1e-05,0.0001,2e-05,0.00029,3e-05,1e-05,7e-05,0.00019,0.00054,3e-05,1e-05,0.00012,0.00029,9e-05,0.00094,0.00014,0.00015,0.00019,0.00047,0.00118,0.00018,0.0003,0.00022,0.00049,0.01969
75108,1.0,1e-05,0.0,0.0001,1e-05,1e-05,0.00557,0.00296,1e-05,0.00121,2e-05,0.00143,0.0,4e-05,4e-05,8e-05,0.00013,5e-05,1e-05,9e-05,1e-05,0.00024,2e-05,1e-05,5e-05,0.00015,0.00018,0.0,1e-05,4e-05,9e-05,4e-05,0.00062,0.0001,0.00011,0.00014,0.00027,0.00085,0.00013,0.00014,0.0002,0.00037,0.00239
