idx,adaboost:algorithm,adaboost:learning_rate,adaboost:max_depth,adaboost:n_estimators,balancing:strategy,bernoulli_nb:alpha,bernoulli_nb:fit_prior,classifier,decision_tree:criterion,decision_tree:max_depth,decision_tree:max_features,decision_tree:max_leaf_nodes,decision_tree:min_samples_leaf,decision_tree:min_samples_split,extra_trees:bootstrap,extra_trees:criterion,extra_trees:max_depth,extra_trees:max_features,extra_trees:min_samples_leaf,extra_trees:min_samples_split,extra_trees:n_estimators,gradient_boosting:learning_rate,gradient_boosting:max_depth,gradient_boosting:max_features,gradient_boosting:min_samples_leaf,gradient_boosting:min_samples_split,gradient_boosting:n_estimators,gradient_boosting:subsample,imputation:strategy,k_nearest_neighbors:algorithm,k_nearest_neighbors:leaf_size,k_nearest_neighbors:n_neighbors,k_nearest_neighbors:p,k_nearest_neighbors:weights,kitchen_sinks:gamma,kitchen_sinks:n_components,lda:n_components,lda:tol,liblinear_svc:C,liblinear_svc:class_weight,liblinear_svc:dual,liblinear_svc:fit_intercept,liblinear_svc:intercept_scaling,liblinear_svc:loss,liblinear_svc:multi_class,liblinear_svc:penalty,liblinear_svc:tol,liblinear_svc_preprocessor:C,liblinear_svc_preprocessor:class_weight,liblinear_svc_preprocessor:dual,liblinear_svc_preprocessor:fit_intercept,liblinear_svc_preprocessor:intercept_scaling,liblinear_svc_preprocessor:loss,liblinear_svc_preprocessor:multi_class,liblinear_svc_preprocessor:penalty,liblinear_svc_preprocessor:tol,libsvm_svc:C,libsvm_svc:class_weight,libsvm_svc:coef0,libsvm_svc:degree,libsvm_svc:gamma,libsvm_svc:kernel,libsvm_svc:max_iter,libsvm_svc:shrinking,libsvm_svc:tol,multinomial_nb:alpha,multinomial_nb:fit_prior,nystroem_sampler:coef0,nystroem_sampler:degree,nystroem_sampler:gamma,nystroem_sampler:kernel,nystroem_sampler:n_components,passive_aggresive:C,passive_aggresive:fit_intercept,passive_aggresive:loss,passive_aggresive:n_iter,preprocessor,qda:reg_param,qda:tol,random_forest:bootstrap,random_forest:criterion,random_forest:max_depth,random_forest:max_features,random_forest:max_leaf_nodes,random_forest:min_samples_leaf,random_forest:min_samples_split,random_forest:n_estimators,rescaling:strategy,ridge:alpha,ridge:fit_intercept,ridge:tol,select_percentile_classification:percentile,select_percentile_classification:score_func,select_rates:alpha,select_rates:mode,select_rates:score_func,sgd:alpha,sgd:epsilon,sgd:eta0,sgd:fit_intercept,sgd:l1_ratio,sgd:learning_rate,sgd:loss,sgd:n_iter,sgd:penalty,sgd:power_t,truncatedSVD:target_dim
43,,,,,weighting,,,extra_trees,,,,,,,False,gini,None,2.94290093954027,1,4,100,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,truncatedSVD,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,230
44,,,,,none,,,ridge,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47682959172287465,3,0.0817500204361975,poly,7840,,,,,nystroem_sampler,,,,,,,,,,,min/max,3.5247879633073613e-06,True,2.639257688953377e-05,,,,,,,,,,,,,,,,
45,,,,,weighting,,,random_forest,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,False,gini,None,1.9308172645873483,None,3,2,100,min/max,,,,,,,,,,,,,,,,,,,
46,,,,,weighting,,,extra_trees,,,,,,,False,gini,None,4.7402401153417255,1,8,100,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
47,,,,,weighting,,,sgd,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,0.30960578518462356,1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,6.470984402260665e-05,,0.06964875570470032,True,0.5511949982306176,constant,log,211,elasticnet,,
48,,,,,weighting,,,k_nearest_neighbors,,,,,,,,,,,,,,,,,,,,,median,auto,30,13,2,distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_rates,,,,,,,,,,,min/max,,,,,,0.29988931129304747,fpr,chi2,,,,,,,,,,,
49,,,,,weighting,,,k_nearest_neighbors,,,,,,,,,,,,,,,,,,,,,most_frequent,auto,30,71,1,distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,min/max,,,,94.1552485834088,chi2,,,,,,,,,,,,,,
50,,,,,weighting,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,3.6453655958844275,auto,False,True,1,l2,ovr,l2,0.001700098721132202,,,,,,,,,,,,,,,,,,,,,-0.9702930141004069,,0.8329338915456194,sigmoid,91,,,,,nystroem_sampler,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
51,,,,,weighting,,,random_forest,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,False,entropy,None,0.8631968044910818,None,2,12,100,min/max,,,,,,,,,,,,,,,,,,,
52,,,,,none,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,mean,,,,,,1.4535406285729275,9398,,,52.37224007072462,None,False,True,1,l2,ovr,l2,0.05761344561010035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
53,,,,,weighting,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,median,,,,,,1.0788604704526727,771,,,8.638619612438676,None,False,True,1,l2,ovr,l2,3.898062486834489e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,
